iter	Accuracy	MultiClass
629	0.9432024815	0.4081001958
630	0.942667665	0.4078331273
631	0.9428815916	0.4072575547
632	0.9428815916	0.4066614138
633	0.9444860413	0.4059738763
634	0.9451278212	0.4056211553
635	0.9442721147	0.4054112804
636	0.9449138945	0.4051527517
637	0.9453417478	0.4046389937
638	0.9451278212	0.4042805405
639	0.9449138945	0.4039582299
640	0.9450208578	0.4037474146
641	0.9449138945	0.4034131842
642	0.9450208578	0.4031885364
643	0.9456626377	0.4026097601
644	0.9456626377	0.4022968792
645	0.9459835277	0.4018520116
646	0.9456626377	0.4012144975
647	0.9461974543	0.4007647247
648	0.9464113809	0.4004407569
649	0.9470531608	0.4001503958
650	0.9470531608	0.3995925447
651	0.9465183442	0.3993105835
652	0.9469461975	0.3987661739
653	0.9473740507	0.3980777582
654	0.9480158306	0.3974783673
655	0.9478019039	0.3964439556
656	0.947481014	0.3959014734
657	0.947481014	0.3956846936
658	0.9478019039	0.3950622356
659	0.9480158306	0.3947608012
660	0.9484436838	0.3941824931
661	0.9487645738	0.3939909402
662	0.9488715371	0.3935548014
663	0.9487645738	0.3930835625
664	0.9497272436	0.3927381821
665	0.9500481335	0.3922012309
666	0.9504759867	0.3916016638
667	0.9504759867	0.3910060619
668	0.9504759867	0.3903168076
669	0.9499411702	0.3900656526
670	0.9499411702	0.3899701952
671	0.9506899134	0.3895441432
672	0.9500481335	0.3888425738
673	0.9502620601	0.3886441758
674	0.9504759867	0.3881975799
675	0.9510108033	0.3878531369
676	0.9504759867	0.3875325776
677	0.9499411702	0.3868830079
678	0.9494063536	0.3863894546
679	0.9498342069	0.3858938818
680	0.9498342069	0.3856482751
681	0.9496202802	0.3855327756
682	0.9500481335	0.3852041602
683	0.9501550968	0.3847856836
684	0.9492993903	0.3844638909
685	0.9501550968	0.3839135228
686	0.95090384	0.3832096232
687	0.9503690234	0.3827767478
688	0.9515456199	0.382348879
689	0.9512247299	0.3819320117
690	0.95090384	0.3814145571
691	0.9515456199	0.3811826415
692	0.9504759867	0.3806689044
693	0.9511177666	0.3801266009
694	0.95090384	0.3798874743
695	0.95058295	0.379661591
696	0.9507968767	0.3794547879
697	0.9504759867	0.3793261792
698	0.9510108033	0.3788843861
699	0.9514386565	0.3784368115
700	0.9512247299	0.3780388934
701	0.9511177666	0.3777145245
702	0.9514386565	0.3776465122
703	0.9518665098	0.3773171079
704	0.9515456199	0.3769362349
705	0.9524013263	0.3764443771
706	0.952294363	0.3760582883
707	0.952615253	0.3757797901
708	0.9529361429	0.375292905
709	0.9532570328	0.3748752454
710	0.9534709595	0.3744024097
711	0.9534709595	0.3741828449
712	0.9528291796	0.373665811
713	0.9530431062	0.373363234
